feature	FTA-10_1	FTA-1_1	FTA-11_1	FTA-12_1	FTA-13_1	FTA-14_1	FTA-15_1	FTA-16_1	FTA-17_1	FTA-18_1	FTA-19_1	FTA-20_1	FTA-2_1	FTA-23_1	FTA-24_1	FTA-3_1	FTA-4_1	FTA-5_1	FTA-6_1	FTA-9_1	FTC-10_1	FTC-1_1	FTC-11_1	FTC-12_1	FTC-13_1	FTC-14_1	FTC-15_1	FTC-16_1	FTC-17_1	FTC-18_1	FTC-19_1	FTC-20_1	FTC-2_1	FTC-21_1	FTC-22_1	FTC-3_1	FTC-4_1	FTC-5_1	FTC-6_1	FTC-7_1	FTC-8_1
ENST00000443744.1_80_120_+|genomic|ENST00000443744.1_80_120_+|peak_798|ENST00000443744.1|80|120	27	23	14	15	10	13	10	35	4	11	6	16	10	15	21	0	0	0	0	0	20	15	9	0	5	1	3	17	21	16	16	10	40	19	15	33	17	0	5	8	3
ENST00000443778.2_800_840_+|genomic|ENST00000443778.2_800_840_+|peak_799|ENST00000443778.2|800|840	14	18	20	13	15	23	8	36	10	12	7	7	6	9	11	34	8	13	26	16	4	7	3	6	10	2	27	9	7	7	9	10	50	11	12	20	11	15	2	4	3
ENST00000444032.1_240_280_+|genomic|ENST00000444032.1_240_280_+|peak_800|ENST00000444032.1|240|280	49	79	397	323	117	51	117	83	56	34	85	37	37	36	50	67	263	265	526	215	75	62	124	67	54	73	23	46	55	47	34	118	388	56	39	190	43	267	54	60	121
ENST00000444178.1_200_220_+|genomic|ENST00000444178.1_200_220_+|peak_801|ENST00000444178.1|200|220	5	67	1	9	4	1	24	13	1	20	2	4	28	1	0	1	1	2	1	3	3	3	2	0	4	1	1	1	2	0	2	3	37	3	2	25	2	9	2	3	0
ENST00000444232.3_300_340_+|genomic|ENST00000444232.3_300_340_+|peak_802|ENST00000444232.3|300|340	4	13	16	25	14	9	26	14	5	6	5	7	12	7	12	10	17	20	29	18	14	11	17	5	18	16	2	11	7	10	2	11	41	9	8	16	9	30	49	10	6
ENST00000444932.1_300_340_+|genomic|ENST00000444932.1_300_340_+|peak_803|ENST00000444932.1|300|340	0	0	1	0	0	0	0	0	0	0	0	92	2	103	133	0	0	0	0	0	14	113	0	3	0	2	0	117	108	121	97	1	0	139	103	0	118	0	0	0	0
ENST00000445083.1_40_80_+|genomic|ENST00000445083.1_40_80_+|peak_804|ENST00000445083.1|40|80	0	0	4	0	0	1	0	1	0	0	6	11	0	16	17	0	0	21	37	0	0	16	5	0	0	0	0	16	12	17	18	0	1	14	15	0	13	0	0	0	0
ENST00000445190.1_980_1020_+|genomic|ENST00000445190.1_980_1020_+|peak_805|ENST00000445190.1|980|1020	9	5	10	19	11	10	4	16	6	9	12	4	6	3	5	1	5	15	34	14	11	7	12	2	9	7	9	6	5	8	8	6	32	9	8	35	6	28	14	6	5
ENST00000445571.1_380_420_+|genomic|ENST00000445571.1_380_420_+|peak_806|ENST00000445571.1|380|420	0	0	13	2	0	0	0	1	0	0	29	35	0	34	45	0	0	60	57	1	0	42	6	0	0	1	0	42	38	39	41	0	1	45	34	5	41	0	0	2	0
ENST00000445770.3_620_660_+|genomic|ENST00000445770.3_620_660_+|peak_807|ENST00000445770.3|620|660	3	5	7	0	4	2	1	0	2	0	12	7	0	10	19	0	2	8	6	0	1	13	1	65	1	0	0	17	13	14	13	0	2	15	13	2	18	0	0	1	0
ENST00000445861.3_2160_2200_+|genomic|ENST00000445861.3_2160_2200_+|peak_808|ENST00000445861.3|2160|2200	12	32	11	8	9	13	6	15	5	6	4	12	27	16	26	10	24	22	13	5	13	16	10	4	5	0	3	15	23	17	17	5	47	19	12	56	22	52	9	10	4
ENST00000445865.1_960_1000_+|genomic|ENST00000445865.1_960_1000_+|peak_809|ENST00000445865.1|960|1000	0	0	1	0	1	0	0	0	0	0	0	17	4	15	24	0	0	0	0	0	0	16	0	0	0	0	0	18	17	21	16	0	4	22	20	0	18	0	0	0	0
ENST00000446128.1_400_440_+|genomic|ENST00000446128.1_400_440_+|peak_810|ENST00000446128.1|400|440	25	32	44	28	17	18	26	42	8	13	18	8	23	17	11	0	0	0	0	0	12	21	15	13	23	14	80	13	12	14	21	21	91	15	14	34	16	0	7	6	21
ENST00000446238.1_560_580_+|genomic|ENST00000446238.1_560_580_+|peak_811|ENST00000446238.1|560|580	10	4	14	2	11	6	11	11	3	6	3	2	2	3	6	0	0	0	0	1	3	6	6	11	0	2	14	6	4	6	4	10	12	3	7	5	6	1	2	7	5
ENST00000446476.2_460_500_+|genomic|ENST00000446476.2_460_500_+|peak_812|ENST00000446476.2|460|500	21	24	16	21	7	16	18	29	6	13	3	8	9	13	16	14	20	16	34	9	16	21	13	8	4	6	5	19	11	16	12	18	58	15	14	26	19	39	8	11	3
ENST00000446617.1_2480_2500_+|genomic|ENST00000446617.1_2480_2500_+|peak_813|ENST00000446617.1|2480|2500	11	32	13	19	7	6	35	22	1	14	4	11	10	13	14	3	7	8	24	6	8	12	5	4	10	7	2	18	13	14	13	23	67	17	13	34	14	22	7	14	3
ENST00000447039.1_60_100_+|genomic|ENST00000447039.1_60_100_+|peak_814|ENST00000447039.1|60|100	16	10	14	21	7	14	5	12	1	15	9	5	5	4	10	1	14	15	32	8	14	13	5	4	2	11	2	7	5	6	6	8	27	10	4	21	6	34	11	9	10
ENST00000447194.1_2540_2580_+|genomic|ENST00000447194.1_2540_2580_+|peak_815|ENST00000447194.1|2540|2580	1	0	12	0	0	0	0	0	1	0	9	15	0	22	27	0	0	6	3	0	0	24	1	0	0	0	0	27	13	23	23	0	0	31	21	0	21	0	0	0	0
ENST00000447246.1_700_740_+|genomic|ENST00000447246.1_700_740_+|peak_816|ENST00000447246.1|700|740	94	142	94	98	32	43	185	208	24	89	33	68	69	73	102	34	76	75	229	60	91	52	35	26	28	25	26	93	78	73	76	92	422	84	67	173	82	134	28	80	59
ENST00000447277.1_240_280_+|genomic|ENST00000447277.1_240_280_+|peak_817|ENST00000447277.1|240|280	39	27	36	16	5	20	18	32	18	25	11	10	14	12	14	11	14	17	13	17	17	15	17	19	12	7	30	21	12	13	14	17	28	14	9	25	13	17	6	1	23
ENST00000447494.1_0_40_+|genomic|ENST00000447494.1_0_40_+|peak_818|ENST00000447494.1|0|40	2	0	1	0	0	0	0	0	0	0	7	24	0	23	33	0	0	0	2	0	0	24	2	0	0	0	0	28	26	27	22	0	0	33	25	0	21	0	0	0	0
ENST00000447596.4_520_560_+|genomic|ENST00000447596.4_520_560_+|peak_819|ENST00000447596.4|520|560	22	32	36	64	29	12	36	34	19	26	18	22	28	28	42	0	0	0	0	0	41	28	42	40	22	21	7	32	34	34	29	46	83	34	34	71	35	0	22	22	16
ENST00000447761.1_140_180_+|genomic|ENST00000447761.1_140_180_+|peak_820|ENST00000447761.1|140|180	17	19	11	12	8	1	19	6	5	25	9	3	20	3	7	2	3	3	4	0	24	6	17	6	7	11	1	5	3	5	4	21	46	6	7	22	3	4	8	10	15
ENST00000447832.1_400_420_+|genomic|ENST00000447832.1_400_420_+|peak_821|ENST00000447832.1|400|420	3	7	3	8	3	1	3	1	0	1	8	4	2	5	5	3	40	40	58	6	6	4	1	2	1	2	0	6	5	4	3	2	26	4	5	35	4	44	10	5	1
ENST00000448117.1_20_60_+|genomic|ENST00000448117.1_20_60_+|peak_822|ENST00000448117.1|20|60	21	62	22	34	11	22	12	25	2	28	12	15	15	12	19	21	65	38	63	20	7	14	7	8	5	4	12	16	12	21	16	11	64	19	20	79	18	65	11	13	18
ENST00000448490.1_1040_1080_+|genomic|ENST00000448490.1_1040_1080_+|peak_823|ENST00000448490.1|1040|1080	25	90	72	44	71	47	36	66	13	21	15	10	49	6	6	51	27	40	55	59	7	12	21	21	12	16	45	6	8	6	16	14	198	24	10	97	16	15	11	9	21
ENST00000448490.1_2280_2320_+|genomic|ENST00000448490.1_2280_2320_+|peak_824|ENST00000448490.1|2280|2320	5	12	2	3	7	0	5	14	2	8	2	5	10	4	5	15	19	66	112	27	1	6	3	3	3	0	0	4	8	6	4	7	14	6	4	6	7	107	1	4	4
ENST00000448514.1_320_360_+|genomic|ENST00000448514.1_320_360_+|peak_825|ENST00000448514.1|320|360	69	11	15	11	17	24	56	23	41	51	32	20	22	16	18	0	0	2	1	0	57	19	15	54	62	32	20	24	24	21	17	56	41	29	16	19	32	2	5	9	54
ENST00000448806.2_0_40_+|genomic|ENST00000448806.2_0_40_+|peak_826|ENST00000448806.2|0|40	2	0	0	4	1	0	26	2	19	120	4	0	9	0	0	0	2	0	36	27	0	0	0	1	8	0	8	0	0	0	0	0	45	0	0	33	0	29	11	2	0
ENST00000448824.1_680_700_+|genomic|ENST00000448824.1_680_700_+|peak_827|ENST00000448824.1|680|700	26	45	25	35	25	16	45	52	8	13	25	8	29	15	13	6	14	11	24	9	26	15	21	27	8	17	10	12	11	10	9	21	43	17	12	21	13	52	16	16	20
ENST00000448927.1_2180_2200_+|genomic|ENST00000448927.1_2180_2200_+|peak_828|ENST00000448927.1|2180|2200	4	0	5	1	0	0	1	0	3	0	17	28	0	29	39	0	0	0	1	0	0	35	0	0	0	0	0	35	27	38	30	0	1	36	29	30	38	0	0	0	0
ENST00000449168.1_200_220_+|genomic|ENST00000449168.1_200_220_+|peak_829|ENST00000449168.1|200|220	22	7	31	9	5	6	2	5	10	6	59	43	3	42	65	0	5	43	20	0	12	45	9	11	2	9	4	66	52	50	58	2	5	55	42	32	54	2	3	1	1
ENST00000449643.1_1360_1400_+|genomic|ENST00000449643.1_1360_1400_+|peak_830|ENST00000449643.1|1360|1400	0	2	0	0	0	2	0	0	0	2	0	15	0	16	16	0	0	2	0	0	0	15	0	8	3	0	0	16	13	19	19	0	0	16	16	7	14	0	0	0	2
ENST00000450199.1_960_980_+|genomic|ENST00000450199.1_960_980_+|peak_831|ENST00000450199.1|960|980	6	15	9	13	21	9	11	2	4	6	15	9	6	13	18	2	14	27	54	2	6	15	2	4	3	4	2	14	12	16	14	6	54	8	11	29	12	33	5	5	1
ENST00000450247.1_60_100_+|genomic|ENST00000450247.1_60_100_+|peak_832|ENST00000450247.1|60|100	4	25	8	22	21	2	3	8	8	6	16	16	21	15	16	5	11	7	5	2	28	14	21	0	17	11	2	14	14	18	17	7	38	17	9	38	16	4	7	16	5
ENST00000450944.1_240_260_+|genomic|ENST00000450944.1_240_260_+|peak_833|ENST00000450944.1|240|260	93	69	44	79	58	92	88	146	22	72	36	42	34	42	67	0	2	3	3	1	54	47	30	25	47	74	38	51	44	46	45	62	227	54	47	83	54	1	69	49	23
ENST00000450995.1_420_460_+|genomic|ENST00000450995.1_420_460_+|peak_834|ENST00000450995.1|420|460	16	26	12	40	24	17	50	43	5	12	8	18	13	14	23	6	33	32	117	15	22	18	18	14	12	23	16	17	23	15	16	22	69	20	13	49	22	40	14	11	16
ENST00000451362.1_40_80_+|genomic|ENST00000451362.1_40_80_+|peak_835|ENST00000451362.1|40|80	21	36	7	28	16	4	22	9	3	13	10	16	18	15	22	11	42	18	28	5	20	12	7	3	8	11	2	14	17	13	11	17	47	23	8	30	18	41	15	7	6
ENST00000451362.1_3620_3660_+|genomic|ENST00000451362.1_3620_3660_+|peak_836|ENST00000451362.1|3620|3660	18	52	24	22	14	11	8	19	8	55	12	10	21	14	12	13	12	17	17	6	17	20	11	9	18	5	1	9	14	13	15	9	38	17	16	28	17	97	12	10	11
ENST00000451375.1_140_180_+|genomic|ENST00000451375.1_140_180_+|peak_837|ENST00000451375.1|140|180	17	15	17	25	11	15	23	32	1	3	17	10	12	8	14	10	56	35	95	4	17	17	11	7	14	5	2	12	10	10	14	8	29	15	14	31	11	79	3	7	6
ENST00000451424.1_3540_3580_+|genomic|ENST00000451424.1_3540_3580_+|peak_838|ENST00000451424.1|3540|3580	1	18	1	12	7	2	1	0	0	1	5	2	8	4	4	3	45	38	57	3	12	4	10	0	5	4	1	4	1	5	4	0	18	3	4	31	2	124	1	5	0
ENST00000451439.1_340_380_+|genomic|ENST00000451439.1_340_380_+|peak_839|ENST00000451439.1|340|380	10	16	12	13	5	4	14	11	4	8	5	4	11	8	7	0	0	0	0	0	10	10	7	5	8	6	2	9	7	9	5	19	40	8	7	21	7	1	5	1	5
ENST00000451556.2_260_280_+|genomic|ENST00000451556.2_260_280_+|peak_840|ENST00000451556.2|260|280	3	2	4	2	11	0	0	0	12	0	19	17	0	19	29	0	1	37	37	0	1	18	1	27	0	0	1	29	19	20	21	0	2	30	19	17	33	0	0	2	0
ENST00000451564.1_680_720_+|genomic|ENST00000451564.1_680_720_+|peak_841|ENST00000451564.1|680|720	13	18	14	4	7	2	18	7	4	6	10	4	24	2	5	0	11	3	9	2	6	6	8	1	5	0	1	6	6	9	5	22	26	10	12	19	8	20	1	1	1
ENST00000451630.1_80_120_+|genomic|ENST00000451630.1_80_120_+|peak_842|ENST00000451630.1|80|120	8	20	9	12	11	20	11	28	2	17	10	15	20	19	27	5	8	24	19	9	10	17	7	6	10	16	9	20	21	16	22	20	48	17	19	14	25	15	18	22	2
ENST00000451711.1_100_140_+|genomic|ENST00000451711.1_100_140_+|peak_843|ENST00000451711.1|100|140	25	52	13	15	13	29	20	30	9	15	21	14	36	21	21	0	0	0	0	0	12	77	7	4	5	3	11	18	17	21	23	11	32	26	13	37	27	1	10	7	5
ENST00000452364.1_280_320_+|genomic|ENST00000452364.1_280_320_+|peak_844|ENST00000452364.1|280|320	45	82	93	43	34	49	37	91	13	37	18	8	24	12	15	32	11	10	42	15	13	13	11	25	23	12	73	12	10	15	13	32	152	18	10	75	23	24	12	20	17
ENST00000452378.1_2440_2480_+|genomic|ENST00000452378.1_2440_2480_+|peak_845|ENST00000452378.1|2440|2480	0	0	1	0	1	2	0	0	0	0	5	10	1	11	19	0	0	29	25	0	0	15	1	1	0	0	0	12	11	16	11	0	4	14	12	1	17	1	0	0	0
ENST00000452801.1_920_960_+|genomic|ENST00000452801.1_920_960_+|peak_846|ENST00000452801.1|920|960	15	24	127	32	11	11	21	12	3	18	12	7	7	11	15	22	89	63	343	47	9	10	16	6	2	30	7	9	12	11	12	13	53	18	8	35	13	97	9	8	8
ENST00000452962.1_120_160_+|genomic|ENST00000452962.1_120_160_+|peak_847|ENST00000452962.1|120|160	2	7	1	11	3	2	1	3	1	1	6	7	3	8	9	5	55	44	56	1	8	8	3	0	1	0	0	7	10	9	8	1	14	10	13	27	7	75	1	6	1
ENST00000453199.2_180_200_+|genomic|ENST00000453199.2_180_200_+|peak_848|ENST00000453199.2|180|200	21	17	24	22	5	11	10	39	5	10	7	6	16	11	13	0	0	0	0	0	26	13	11	6	4	3	2	13	13	12	12	14	83	9	14	25	13	0	11	5	16
ENST00000453274.1_520_560_+|genomic|ENST00000453274.1_520_560_+|peak_849|ENST00000453274.1|520|560	11	4	9	0	4	0	0	1	4	1	31	25	1	25	29	0	4	84	79	1	0	29	1	55	0	1	1	30	30	26	22	1	4	29	27	12	35	3	1	0	1
ENST00000453777.1_720_760_+|genomic|ENST00000453777.1_720_760_+|peak_850|ENST00000453777.1|720|760	15	32	22	7	11	9	7	24	4	19	4	5	7	3	5	8	10	7	18	12	3	6	11	10	9	3	41	5	5	3	9	6	36	7	4	13	8	8	1	2	7
ENST00000454086.2_0_40_+|genomic|ENST00000454086.2_0_40_+|peak_851|ENST00000454086.2|0|40	1	6	6	3	0	0	1	0	0	3	1	1	1	2	2	19	132	112	158	26	1	1	4	1	0	0	1	1	3	3	6	1	14	2	2	11	0	165	5	0	1
ENST00000454196.1_1540_1580_+|genomic|ENST00000454196.1_1540_1580_+|peak_852|ENST00000454196.1|1540|1580	66	35	90	16	30	35	58	68	9	24	19	22	11	25	29	2	1	1	7	0	12	29	6	48	17	23	152	23	19	29	23	27	113	38	23	27	31	0	13	7	28
ENST00000454230.1_260_300_+|genomic|ENST00000454230.1_260_300_+|peak_853|ENST00000454230.1|260|300	15	36	13	27	11	12	7	12	5	16	16	18	46	21	19	0	3	1	2	0	20	23	11	8	12	13	4	20	17	26	20	7	65	23	17	86	24	4	23	18	8
ENST00000454321.1_300_340_+|genomic|ENST00000454321.1_300_340_+|peak_854|ENST00000454321.1|300|340	0	38	0	0	4	118	0	9	0	11	0	76	0	93	121	0	0	534	4	0	0	110	0	0	1	36	1	116	98	101	95	0	3	126	90	32	95	2	1	0	0
ENST00000454387.1_320_360_+|genomic|ENST00000454387.1_320_360_+|peak_855|ENST00000454387.1|320|360	42	82	110	41	34	27	45	87	13	15	21	10	21	15	14	10	7	10	16	6	23	16	14	38	23	7	43	14	18	13	19	19	174	20	18	69	22	11	7	9	11
ENST00000454538.1_680_720_+|genomic|ENST00000454538.1_680_720_+|peak_856|ENST00000454538.1|680|720	11	29	12	20	13	14	16	8	5	15	23	12	16	12	11	2	2	2	3	2	18	12	15	2	9	9	8	14	14	9	13	12	39	13	10	32	14	11	16	2	11
ENST00000454762.1_60_100_+|genomic|ENST00000454762.1_60_100_+|peak_857|ENST00000454762.1|60|100	11	8	9	23	7	13	10	4	5	10	12	10	11	14	15	0	0	0	0	0	14	18	16	5	9	4	2	15	14	17	15	9	49	19	12	50	17	0	14	11	10
ENST00000454935.1_1860_1900_+|genomic|ENST00000454935.1_1860_1900_+|peak_858|ENST00000454935.1|1860|1900	74	86	153	31	57	43	45	93	12	26	26	23	33	24	22	0	0	0	0	0	18	24	10	29	24	5	41	27	21	25	27	22	88	28	23	32	28	0	6	6	19
ENST00000455121.3_240_280_+|genomic|ENST00000455121.3_240_280_+|peak_859|ENST00000455121.3|240|280	11	14	26	5	13	12	11	31	4	5	5	3	6	2	8	87	46	30	48	160	2	5	3	11	9	2	10	1	2	7	2	10	24	8	2	10	4	48	0	0	4
ENST00000455366.1_20_60_+|genomic|ENST00000455366.1_20_60_+|peak_860|ENST00000455366.1|20|60	28	27	54	45	15	48	28	64	10	16	25	16	23	17	19	1	2	1	7	1	7	18	6	11	3	0	1	19	14	22	14	16	80	19	15	128	19	4	11	27	5
ENST00000455557.2_1780_1820_+|genomic|ENST00000455557.2_1780_1820_+|peak_861|ENST00000455557.2|1780|1820	7	16	10	32	4	5	5	9	3	4	6	6	13	4	5	1	8	8	15	18	19	4	24	7	22	3	3	6	3	6	6	2	30	6	4	19	6	29	9	11	23
ENST00000455558.2_440_480_+|genomic|ENST00000455558.2_440_480_+|peak_862|ENST00000455558.2|440|480	0	0	0	20	0	0	1	0	0	0	0	111	0	115	155	0	0	2	0	0	0	132	0	2	1	0	0	152	123	140	123	1	1	148	121	1	141	0	0	0	5
ENST00000455830.2_20_60_+|genomic|ENST00000455830.2_20_60_+|peak_863|ENST00000455830.2|20|60	4	4	4	2	2	2	0	4	4	4	1	3	7	6	5	19	65	82	105	19	3	4	1	0	5	0	0	4	5	6	3	3	6	5	6	5	5	148	0	2	0
ENST00000456146.1_200_220_+|genomic|ENST00000456146.1_200_220_+|peak_864|ENST00000456146.1|200|220	21	18	13	9	4	38	20	34	14	21	2	6	19	4	6	10	12	7	6	7	8	6	12	5	2	3	3	8	4	5	6	14	38	8	5	22	7	25	7	10	10
ENST00000456273.1_360_400_+|genomic|ENST00000456273.1_360_400_+|peak_865|ENST00000456273.1|360|400	17	18	6	8	3	14	8	32	2	5	3	6	10	5	7	0	0	0	0	3	2	9	2	10	2	0	24	5	6	8	6	8	20	7	3	6	10	1	0	2	1
ENST00000456316.1_320_360_+|genomic|ENST00000456316.1_320_360_+|peak_866|ENST00000456316.1|320|360	5	7	18	2	0	5	5	8	0	2	2	6	5	9	8	1	0	4	0	3	1	3	0	2	4	2	4	5	5	6	6	4	8	5	7	1	6	0	0	1	2
ENST00000456477.1_0_40_+|genomic|ENST00000456477.1_0_40_+|peak_867|ENST00000456477.1|0|40	1	2	0	0	0	0	0	0	0	0	0	27	0	34	39	0	0	66	0	0	0	33	0	0	0	0	0	42	29	30	31	0	0	36	30	1	32	0	0	0	1
ENST00000456683.2_240_280_+|genomic|ENST00000456683.2_240_280_+|peak_868|ENST00000456683.2|240|280	12	3	16	5	0	1	0	0	4	0	33	35	2	51	63	0	4	74	107	0	1	48	0	51	1	0	0	54	43	51	48	0	2	71	54	18	53	2	0	1	0
ENST00000456775.1_1680_1700_+|genomic|ENST00000456775.1_1680_1700_+|peak_869|ENST00000456775.1|1680|1700	5	9	9	4	15	0	0	0	23	1	18	5	1	8	9	0	0	0	0	0	0	5	1	34	0	2	0	13	16	5	5	0	7	9	6	23	12	0	1	0	1
ENST00000457274.1_900_940_+|genomic|ENST00000457274.1_900_940_+|peak_870|ENST00000457274.1|900|940	39	56	36	87	21	29	33	49	11	29	21	35	61	47	55	0	14	3	3	1	53	46	55	17	15	6	12	42	43	39	43	40	190	53	39	90	39	13	34	32	36
ENST00000457303.3_260_300_+|genomic|ENST00000457303.3_260_300_+|peak_871|ENST00000457303.3|260|300	22	10	6	28	7	7	9	11	1	8	4	6	10	5	7	3	21	9	27	4	11	8	5	3	4	9	3	6	3	6	5	14	33	7	6	33	7	19	4	13	9
ENST00000457465.3_460_500_+|genomic|ENST00000457465.3_460_500_+|peak_872|ENST00000457465.3|460|500	20	24	36	18	15	24	14	39	5	9	9	4	13	5	6	45	26	37	55	134	17	8	13	28	11	9	63	7	2	2	4	26	58	6	3	22	8	32	9	4	10
ENST00000457571.1_80_120_+|genomic|ENST00000457571.1_80_120_+|peak_873|ENST00000457571.1|80|120	16	7	7	11	13	7	37	10	1	11	7	16	9	24	22	3	9	30	50	6	23	26	2	4	5	11	6	19	20	23	19	28	115	21	26	29	26	42	19	11	2
ENST00000457628.1_160_180_+|genomic|ENST00000457628.1_160_180_+|peak_874|ENST00000457628.1|160|180	5	7	4	3	4	5	8	18	2	12	2	5	10	4	0	12	20	30	72	3	1	6	5	2	2	1	1	6	3	4	4	16	53	6	3	23	3	40	4	13	0
ENST00000457628.1_420_460_+|genomic|ENST00000457628.1_420_460_+|peak_875|ENST00000457628.1|420|460	4	1	3	7	0	1	25	5	31	149	3	2	20	3	9	0	1	3	21	18	0	1	2	0	9	1	17	2	2	1	1	1	28	2	2	57	2	49	11	11	2
ENST00000457773.1_360_400_+|genomic|ENST00000457773.1_360_400_+|peak_876|ENST00000457773.1|360|400	14	22	13	42	13	15	15	31	7	22	2	13	12	19	18	4	20	22	46	17	23	20	5	3	1	10	6	12	21	19	14	13	81	20	18	27	13	36	14	26	16
ENST00000457843.1_2540_2580_+|genomic|ENST00000457843.1_2540_2580_+|peak_877|ENST00000457843.1|2540|2580	18	29	19	16	6	5	23	21	3	12	8	7	9	8	8	2	21	6	25	6	10	10	12	3	4	4	0	7	7	5	6	12	40	9	8	11	8	37	10	4	5
ENST00000457847.1_280_300_+|genomic|ENST00000457847.1_280_300_+|peak_878|ENST00000457847.1|280|300	18	19	38	19	12	18	13	31	8	13	8	9	18	7	14	19	12	22	35	34	8	11	15	22	9	6	33	10	8	8	13	10	85	11	13	44	14	18	4	7	9
ENST00000457856.1_220_240_+|genomic|ENST00000457856.1_220_240_+|peak_879|ENST00000457856.1|220|240	28	32	16	34	11	10	15	10	8	22	9	10	13	9	12	1	18	12	59	5	12	6	3	2	6	9	3	11	12	11	14	31	50	13	13	48	15	50	8	11	3
ENST00000457909.2_2200_2220_+|genomic|ENST00000457909.2_2200_2220_+|peak_880|ENST00000457909.2|2200|2220	8	56	10	16	14	11	36	16	5	88	11	14	25	17	15	3	7	6	10	2	26	9	18	7	9	14	12	17	13	12	8	7	52	16	8	26	17	5	10	11	5
ENST00000458003.1_240_280_+|genomic|ENST00000458003.1_240_280_+|peak_881|ENST00000458003.1|240|280	27	33	20	35	16	19	38	38	7	19	13	12	9	15	19	1	3	9	27	2	18	26	16	7	12	14	13	13	14	16	15	31	49	18	17	32	19	10	18	14	6
ENST00000458025.1_620_640_+|genomic|ENST00000458025.1_620_640_+|peak_882|ENST00000458025.1|620|640	18	50	21	33	28	19	22	40	9	27	9	21	20	22	38	7	16	36	27	14	14	30	18	20	9	11	8	28	31	29	28	17	37	43	26	32	27	57	17	7	10
ENST00000458139.1_340_380_+|genomic|ENST00000458139.1_340_380_+|peak_883|ENST00000458139.1|340|380	15	32	22	39	49	24	19	23	2	6	27	9	44	12	16	2	8	16	21	4	15	5	7	7	19	11	8	14	17	9	16	8	41	15	12	32	13	23	13	25	8
ENST00000458139.1_500_540_+|genomic|ENST00000458139.1_500_540_+|peak_884|ENST00000458139.1|500|540	2	12	6	8	8	1	15	10	8	3	4	9	6	9	12	22	30	52	131	15	10	12	3	2	8	8	0	9	12	10	13	11	81	16	13	24	10	88	16	7	3
ENST00000458142.1_240_280_+|genomic|ENST00000458142.1_240_280_+|peak_885|ENST00000458142.1|240|280	20	24	28	8	13	22	13	34	1	17	2	4	13	9	11	11	22	11	24	9	11	4	5	5	3	5	10	9	9	10	7	8	28	10	12	19	12	67	3	6	10
ENST00000458178.2_16480_16500_+|genomic|ENST00000458178.2_16480_16500_+|peak_886|ENST00000458178.2|16480|16500	5	0	3	1	0	0	0	1	1	0	4	18	0	17	17	0	0	37	21	1	0	15	0	0	0	0	0	15	16	19	23	0	1	19	16	1	19	0	0	0	0
ENST00000459091.1_40_95_+|genomic|ENST00000459091.1_40_95_+|peak_887|ENST00000459091.1|40|95	103	160	632	232	184	652	147	195	54	152	68	26	86	28	31	73	186	66	114	63	519	69	141	84	72	385	333	49	58	79	80	223	123	67	14	136	54	180	67	1244	210
ENST00000459171.1_80_120_+|genomic|ENST00000459171.1_80_120_+|peak_888|ENST00000459171.1|80|120	33	32	40	13	16	26	20	37	5	9	4	6	9	5	8	5	0	1	2	3	4	8	4	8	9	2	21	6	7	10	10	13	34	8	11	13	10	3	2	5	7
ENST00000460172.1_80_120_+|genomic|ENST00000460172.1_80_120_+|peak_889|ENST00000460172.1|80|120	10	9	6	10	4	13	3	6	0	7	2	6	19	4	11	12	32	25	26	5	5	9	2	6	2	6	8	10	4	5	8	3	23	6	8	18	7	42	6	4	5
ENST00000460449.1_20_60_+|genomic|ENST00000460449.1_20_60_+|peak_890|ENST00000460449.1|20|60	25	50	43	16	21	35	28	64	4	20	11	8	12	14	12	47	21	24	42	14	10	14	17	8	6	5	19	13	13	10	12	17	109	14	9	64	16	30	5	7	15
ENST00000460701.1_0_20_+|genomic|ENST00000460701.1_0_20_+|peak_891|ENST00000460701.1|0|20	11	15	11	8	4	6	7	18	2	5	2	8	15	9	11	0	0	0	1	0	6	11	3	8	7	5	16	9	7	8	13	6	49	14	7	28	10	1	1	2	3
ENST00000460754.1_280_320_+|genomic|ENST00000460754.1_280_320_+|peak_892|ENST00000460754.1|280|320	51	43	34	50	41	26	39	69	9	28	33	19	64	22	24	4	3	29	54	3	31	19	22	19	9	5	2	26	26	35	35	40	105	30	25	64	27	18	33	25	18
ENST00000460754.1_1600_1640_+|genomic|ENST00000460754.1_1600_1640_+|peak_893|ENST00000460754.1|1600|1640	4	26	9	13	2	7	9	6	8	19	6	5	3	5	12	15	26	39	15	15	11	4	10	4	4	7	2	9	7	9	6	6	24	5	6	10	6	69	6	4	6
ENST00000461017.1_320_340_+|genomic|ENST00000461017.1_320_340_+|peak_894|ENST00000461017.1|320|340	18	17	9	12	11	11	17	22	3	6	7	6	8	9	4	13	17	11	26	3	16	4	6	3	9	4	3	5	6	5	10	8	20	10	9	16	7	30	1	2	5
ENST00000461123.1_460_500_+|genomic|ENST00000461123.1_460_500_+|peak_895|ENST00000461123.1|460|500	2	1	6	1	0	0	0	0	4	0	8	8	0	11	19	0	0	23	22	0	0	13	0	0	0	0	0	16	13	13	10	0	0	17	13	2	12	0	1	0	0
