feature	csFTC-2_1	csFTC-3_1	csFTC-4_1	csFTC-5_1	csFTC-6_1	csFTC-7_1	csFTC-8_1	csFTC-10_1	csFTC-11_1	csFTC-13_1	csFTC-14_1	csFTC-15_1	csFTC-20_1	csFTC-1_1	csFTC-16_1	csFTC-17_1	csFTC-18_1	csFTC-19_1	csFTC-21_1	csFTC-22_1	csFTA-1_1	csFTA-2_1	csFTA-3_1	csFTA-4_1	csFTA-6_1	csFTA-10_1	csFTA-11_1	csFTA-12_1	csFTA-13_1	csFTA-15_1	csFTA-16_1	csFTA-17_1	csFTA-18_1	csFTA-9_1	csFTA-20_1	csFTA-23_1	csFTA-24_1
ENST00000624845.1_240_280_+|genomic|ENST00000624845.1_240_280_+|peak_2081|ENST00000624845.1|240|280	101	7	0	1	23	1	2	1	8	12	7	26	0	4	2	4	1	4	165	11	3	0	1	0	4	1	58	1	41	1	4	6	1	8	7	4	2
ENST00000624870.1_1020_1040_+|genomic|ENST00000624870.1_1020_1040_+|peak_2082|ENST00000624870.1|1020|1040	0	20	32	3	1	0	20	19	11	10	14	16	1	15	5	3	4	9	0	13	13	13	5	9	3	22	1	2	0	16	7	3	22	27	19	6	10
ENST00000624878.1_3160_3180_+|genomic|ENST00000624878.1_3160_3180_+|peak_2083|ENST00000624878.1|3160|3180	18	5	15	3	1	5	32	24	6	2	5	5	1	1	1	4	1	1	4	4	4	4	7	1	1	34	9	1	29	29	3	6	1	23	3	1	3
ENST00000624886.1_1220_1260_+|genomic|ENST00000624886.1_1220_1260_+|peak_2084|ENST00000624886.1|1220|1260	105	15	63	15	12	16	35	41	5	0	13	11	8	20	3	12	7	6	29	10	9	30	10	3	7	36	9	4	80	36	3	19	23	6	95	11	26
ENST00000624919.1_11280_11360_+|genomic|ENST00000624919.1_11280_11360_+|peak_2085|ENST00000624919.1|11280|11360	30	9	32	10	2	202	11	17	15	6	9	5	14	4	3	28	8	7	2	2	11	16	30	21	16	11	9	5	14	15	4	2	6	8	9	5	4
ENST00000624945.1_13260_13280_+|genomic|ENST00000624945.1_13260_13280_+|peak_2086|ENST00000624945.1|13260|13280	3	4	2	20	0	0	25	22	2	2	2	2	1	1	2	30	0	1	0	1	1	0	0	1	0	30	0	1	22	48	8	2	0	5	6	0	5
ENST00000624945.1_18140_18180_+|genomic|ENST00000624945.1_18140_18180_+|peak_2087|ENST00000624945.1|18140|18180	20	18	7	6	0	2	4	6	48	44	55	78	0	20	7	30	23	25	29	42	10	18	11	11	11	5	1	0	6	5	36	51	32	25	43	30	40
ENST00000624945.1_29000_29040_+|genomic|ENST00000624945.1_29000_29040_+|peak_2088|ENST00000624945.1|29000|29040	0	64	73	47	0	2	67	78	76	36	88	71	3	44	8	49	42	63	0	87	56	39	40	42	0	73	0	1	0	70	66	42	90	140	106	90	80
ENST00000624971.1_300_340_+|genomic|ENST00000624971.1_300_340_+|peak_2089|ENST00000624971.1|300|340	25	5	16	7	5	11	9	11	9	3	7	4	2	18	5	3	7	11	6	10	5	8	4	0	24	12	5	5	13	5	4	17	51	10	42	10	15
ENST00000624989.1_380_420_+|genomic|ENST00000624989.1_380_420_+|peak_2090|ENST00000624989.1|380|420	34	7	9	1	2	0	2	6	6	5	12	6	0	14	11	11	4	11	8	15	4	5	9	0	0	5	1	0	21	4	11	14	31	17	32	13	8
ENST00000624998.1_1140_1160_+|genomic|ENST00000624998.1_1140_1160_+|peak_2091|ENST00000624998.1|1140|1160	41	26	5	20	5	20	2	4	98	62	85	132	10	78	17	56	62	72	59	158	8	17	9	15	22	3	12	10	5	5	74	110	111	46	124	78	58
ENST00000625008.1_2580_2620_+|genomic|ENST00000625008.1_2580_2620_+|peak_2092|ENST00000625008.1|2580|2620	2	1	3	23	1	0	28	24	3	0	2	0	0	0	1	21	0	0	1	0	0	1	0	0	0	27	0	0	17	37	6	3	0	0	0	0	7
ENST00000625039.1_6720_6760_+|genomic|ENST00000625039.1_6720_6760_+|peak_2093|ENST00000625039.1|6720|6760	29	3	29	3	1	3	16	16	8	4	3	1	2	0	0	2	1	3	5	5	4	2	1	3	2	20	1	4	18	21	3	0	1	10	2	2	5
ENST00000625058.1_920_960_+|genomic|ENST00000625058.1_920_960_+|peak_2094|ENST00000625058.1|920|960	1	18	4	6	0	5	4	6	25	28	20	39	2	37	25	27	5	23	0	36	2	5	1	2	7	6	0	2	3	7	20	38	41	24	55	34	14
ENST00000625080.1_840_880_+|genomic|ENST00000625080.1_840_880_+|peak_2095|ENST00000625080.1|840|880	0	22	3	11	0	0	90	97	8	0	1	1	0	0	3	43	0	0	0	1	0	0	1	0	0	95	0	0	3	114	77	5	0	0	2	0	21
ENST00000625121.1_220_260_+|genomic|ENST00000625121.1_220_260_+|peak_2096|ENST00000625121.1|220|260	51	16	9	6	2	5	10	17	75	60	46	90	2	56	9	36	164	47	54	80	10	1	5	7	4	12	5	2	13	14	37	55	59	23	104	60	42
ENST00000625123.1_980_1020_+|genomic|ENST00000625123.1_980_1020_+|peak_2097|ENST00000625123.1|980|1020	0	9	10	26	0	2	91	84	2	2	1	2	5	1	5	74	0	1	0	1	0	6	1	0	4	91	1	1	1	112	22	1	8	6	7	4	9
ENST00000625140.1_540_580_+|genomic|ENST00000625140.1_540_580_+|peak_2098|ENST00000625140.1|540|580	17	4	24	2	1	1	20	23	3	0	2	4	0	1	0	3	3	0	0	4	12	2	5	2	1	26	6	0	22	19	4	1	3	2	1	0	2
ENST00000625151.1_2100_2120_+|genomic|ENST00000625151.1_2100_2120_+|peak_2099|ENST00000625151.1|2100|2120	28	4	14	0	1	0	11	6	9	6	20	6	1	7	4	2	1	1	7	4	4	3	7	3	5	10	1	0	25	10	5	1	11	10	9	7	7
ENST00000625192.1_4520_4560_+|genomic|ENST00000625192.1_4520_4560_+|peak_2100|ENST00000625192.1|4520|4560	19	16	12	4	1	0	9	7	8	4	14	10	0	4	0	2	2	1	2	7	3	3	11	9	1	11	0	1	9	7	2	5	2	18	6	8	7
ENST00000625222.1_500_540_+|genomic|ENST00000625222.1_500_540_+|peak_2101|ENST00000625222.1|500|540	46	20	3	4	4	4	3	1	38	27	35	49	1	39	19	38	22	26	35	74	8	11	11	8	3	4	6	2	9	4	18	40	62	24	42	36	23
ENST00000626215.1_140_180_+|genomic|ENST00000626215.1_140_180_+|peak_2102|ENST00000626215.1|140|180	3	55	5	23	0	18	17	16	159	176	130	267	8	177	40	142	137	127	2	215	21	28	30	18	35	9	0	3	2	12	134	151	208	109	288	182	120
ENST00000626532.1_2500_2520_+|genomic|ENST00000626532.1_2500_2520_+|peak_2103|ENST00000626532.1|2500|2520	70	29	62	18	1	6	48	52	33	34	60	32	8	66	48	29	31	24	11	53	18	20	34	22	17	65	2	8	61	54	52	49	137	88	143	89	75
ENST00000626826.1_25920_25960_+|genomic|ENST00000626826.1_25920_25960_+|peak_2104|ENST00000626826.1|25920|25960	265	323	72	88	32	83	74	72	444	359	407	706	27	150	76	215	192	203	241	435	57	111	96	104	136	61	65	40	90	71	194	354	207	280	340	233	190
ENST00000626826.1_40560_40580_+|genomic|ENST00000626826.1_40560_40580_+|peak_2105|ENST00000626826.1|40560|40580	57	11	13	5	1	0	19	24	25	15	25	24	0	22	14	12	21	35	18	28	6	2	4	8	0	26	0	0	42	22	28	24	59	42	39	37	27
ENST00000626826.1_77920_77960_+|genomic|ENST00000626826.1_77920_77960_+|peak_2106|ENST00000626826.1|77920|77960	82	43	44	22	3	4	48	47	34	79	47	44	2	53	18	66	64	110	43	59	10	13	15	16	2	49	0	2	44	45	70	55	133	90	167	99	98
ENST00000626826.1_82080_82100_+|genomic|ENST00000626826.1_82080_82100_+|peak_2107|ENST00000626826.1|82080|82100	22	2	17	0	0	1	24	29	2	2	4	0	0	2	1	0	0	2	0	1	2	0	1	0	1	27	0	3	28	26	0	1	0	1	3	2	1
ENST00000626826.1_111260_111300_+|genomic|ENST00000626826.1_111260_111300_+|peak_2108|ENST00000626826.1|111260|111300	1	11	18	9	0	0	33	34	33	26	42	46	1	73	13	67	36	88	1	48	12	17	8	16	0	41	0	0	1	39	45	51	140	50	134	118	64
ENST00000626826.1_123220_123240_+|genomic|ENST00000626826.1_123220_123240_+|peak_2109|ENST00000626826.1|123220|123240	0	20	1	0	0	0	35	40	1	1	0	1	0	0	0	0	0	1	0	2	2	0	1	0	0	43	0	0	21	48	5	2	0	0	0	0	4
ENST00000626826.1_142120_142160_+|genomic|ENST00000626826.1_142120_142160_+|peak_2110|ENST00000626826.1|142120|142160	0	24	41	15	0	1	32	35	24	15	46	25	1	9	2	8	5	21	0	34	40	12	14	19	1	42	0	1	0	32	21	19	13	59	26	17	19
ENST00000626826.1_164160_164200_+|genomic|ENST00000626826.1_164160_164200_+|peak_2111|ENST00000626826.1|164160|164200	7	8	12	0	2	9	8	6	3	0	0	2	7	0	1	1	10	2	0	0	2	2	1	0	4	7	4	0	11	8	1	0	1	2	4	1	0
ENST00000626826.1_164300_164340_+|genomic|ENST00000626826.1_164300_164340_+|peak_2112|ENST00000626826.1|164300|164340	1	2	42	6	0	2	17	18	1	2	2	0	15	3	1	7	2	7	0	1	2	15	1	0	3	22	0	2	0	14	1	3	5	3	15	9	3
ENST00000626826.1_168120_168140_+|genomic|ENST00000626826.1_168120_168140_+|peak_2113|ENST00000626826.1|168120|168140	31	4	30	1	0	6	43	42	2	5	2	2	1	1	2	0	4	1	2	6	0	2	3	2	7	40	2	1	23	40	1	0	7	2	7	3	4
ENST00000626826.1_175860_175900_+|genomic|ENST00000626826.1_175860_175900_+|peak_2114|ENST00000626826.1|175860|175900	38	9	11	6	2	1	12	7	9	16	15	8	2	20	0	5	7	24	6	23	11	6	12	7	2	10	1	1	15	8	19	9	30	22	32	20	15
ENST00000626826.1_190960_191000_+|genomic|ENST00000626826.1_190960_191000_+|peak_2115|ENST00000626826.1|190960|191000	63	35	36	24	2	1	46	42	52	37	50	41	1	56	22	41	39	89	30	58	26	7	14	21	2	46	1	0	45	41	71	50	132	104	106	98	57
ENST00000627018.1_200_240_+|genomic|ENST00000627018.1_200_240_+|peak_2116|ENST00000627018.1|200|240	0	3	16	7	0	0	5	5	10	12	17	20	0	27	15	22	14	26	0	29	4	5	2	6	1	5	0	0	0	8	19	18	41	38	49	24	21
ENST00000627566.1_6740_6780_+|genomic|ENST00000627566.1_6740_6780_+|peak_2117|ENST00000627566.1|6740|6780	1	0	4	2	0	1	62	54	0	1	0	3	1	1	1	1	0	0	0	1	0	1	1	0	0	64	0	0	38	64	1	0	0	1	0	0	0
ENST00000627783.1_880_920_+|genomic|ENST00000627783.1_880_920_+|peak_2118|ENST00000627783.1|880|920	84	2	15	3	1	0	3	2	4	4	1	1	1	6	4	3	1	2	13	3	5	4	3	4	0	3	1	0	60	2	5	1	9	2	7	6	4
ENST00000628340.1_480_520_+|genomic|ENST00000628340.1_480_520_+|peak_2119|ENST00000628340.1|480|520	13	55	18	6	11	13	22	27	56	30	49	77	4	43	29	35	35	21	4	77	4	9	22	2	20	32	10	5	23	26	40	55	51	40	68	53	30
ENST00000628531.2_20_96_+|genomic|ENST00000628531.2_20_96_+|peak_2120|ENST00000628531.2|20|96	53	61	66	34	36	943	52	66	259	27	69	72	72	9	17	298	50	10	4	11	41	50	106	149	164	48	94	80	73	80	15	26	20	17	35	12	11
ENST00000628545.1_1180_1220_+|genomic|ENST00000628545.1_1180_1220_+|peak_2121|ENST00000628545.1|1180|1220	119	1	1	1	10	0	1	0	3	0	5	5	1	0	0	1	0	0	66	0	1	0	0	0	1	0	12	0	79	1	5	0	0	0	0	0	1
ENST00000628853.1_640_680_+|genomic|ENST00000628853.1_640_680_+|peak_2122|ENST00000628853.1|640|680	0	14	0	0	0	0	43	35	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	39	0	0	23	48	0	1	0	0	0	0	3
ENST00000628937.1_1020_1060_+|genomic|ENST00000628937.1_1020_1060_+|peak_2123|ENST00000628937.1|1020|1060	19	3	12	1	3	4	7	12	2	0	1	0	5	0	2	2	8	0	1	0	2	0	1	0	0	4	2	2	14	5	0	2	2	0	0	0	1
ENST00000629058.1_540_580_+|genomic|ENST00000629058.1_540_580_+|peak_2124|ENST00000629058.1|540|580	0	7	126	1	0	5	142	123	1	3	3	5	3	0	2	3	1	1	0	2	6	7	3	5	1	153	0	4	0	156	0	2	1	5	1	1	3
ENST00000629058.1_1520_1560_+|genomic|ENST00000629058.1_1520_1560_+|peak_2125|ENST00000629058.1|1520|1560	19	11	35	6	0	0	13	13	4	1	9	12	1	5	7	3	3	2	3	1	6	1	4	5	0	10	0	1	15	12	8	3	9	4	6	3	2
ENST00000629082.1_200_240_+|genomic|ENST00000629082.1_200_240_+|peak_2126|ENST00000629082.1|200|240	38	2	29	5	0	0	25	24	0	1	2	1	0	0	2	1	1	1	2	0	1	0	1	5	2	30	3	0	73	26	2	4	4	6	2	1	1
ENST00000629247.1_1020_1058_+|genomic|ENST00000629247.1_1020_1058_+|peak_2127|ENST00000629247.1|1020|1058	7	0	6	1	2	0	5	9	2	0	0	0	4	2	0	2	6	0	1	0	1	1	0	0	2	8	1	3	5	7	0	0	0	1	0	0	0
ENST00000629393.1_3520_3540_+|genomic|ENST00000629393.1_3520_3540_+|peak_2128|ENST00000629393.1|3520|3540	0	1	1	32	0	0	40	37	1	0	1	2	0	1	1	45	0	0	1	1	1	0	0	0	0	40	0	0	5	54	18	1	0	0	1	0	26
ENST00000629570.1_260_280_+|genomic|ENST00000629570.1_260_280_+|peak_2129|ENST00000629570.1|260|280	0	1	2	19	0	0	33	28	4	0	0	0	0	0	1	38	0	1	0	0	0	0	0	0	1	38	0	0	0	42	16	1	0	2	0	0	12
ENST00000630525.1_40_80_+|genomic|ENST00000630525.1_40_80_+|peak_2130|ENST00000630525.1|40|80	7	11	29	5	0	0	10	4	8	6	17	10	1	4	7	4	3	6	5	9	9	4	5	6	1	10	0	0	4	10	4	10	17	17	30	5	5
ENST00000630918.1_1380_1400_+|genomic|ENST00000630918.1_1380_1400_+|peak_2131|ENST00000630918.1|1380|1400	13	7	9	2	0	4	22	18	11	7	15	8	3	7	1	2	4	3	1	4	0	2	0	4	10	26	0	0	11	22	5	8	3	11	9	5	3
ENST00000631653.1_200_240_+|genomic|ENST00000631653.1_200_240_+|peak_2132|ENST00000631653.1|200|240	38	15	30	10	1	2	13	16	36	35	59	34	1	42	13	27	28	40	14	17	6	15	4	17	0	17	0	1	16	11	35	36	143	63	113	40	36
ENST00000632063.1_800_840_+|genomic|ENST00000632063.1_800_840_+|peak_2133|ENST00000632063.1|800|840	0	14	4	4	0	4	0	1	19	19	13	20	0	10	23	44	28	29	0	91	2	4	6	1	3	3	0	2	0	4	12	69	17	13	24	18	14
ENST00000632210.1_1380_1420_+|genomic|ENST00000632210.1_1380_1420_+|peak_2134|ENST00000632210.1|1380|1420	0	6	0	4	0	3	22	23	6	0	1	0	1	0	1	11	0	0	0	0	0	1	1	0	3	25	0	1	0	26	4	0	0	6	0	0	13
ENST00000632517.1_1540_1560_+|genomic|ENST00000632517.1_1540_1560_+|peak_2135|ENST00000632517.1|1540|1560	16	13	3	0	4	2	4	5	20	11	11	27	0	19	17	21	16	8	7	31	3	2	7	6	10	6	6	1	12	5	14	18	27	6	31	17	11
ENST00000634373.1_1480_1520_+|genomic|ENST00000634373.1_1480_1520_+|peak_2136|ENST00000634373.1|1480|1520	57	10	17	6	3	1	10	7	8	11	15	24	1	21	3	11	11	22	22	23	10	6	7	7	1	8	0	0	50	6	11	24	38	28	38	25	15
ENST00000634501.1_840_880_+|genomic|ENST00000634501.1_840_880_+|peak_2137|ENST00000634501.1|840|880	4	4	2	1	0	0	36	45	2	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	38	0	2	16	45	8	2	0	1	0	1	9
ENST00000634588.1_1700_1740_+|genomic|ENST00000634588.1_1700_1740_+|peak_2138|ENST00000634588.1|1700|1740	71	4	1	3	7	10	5	4	14	19	8	12	2	19	7	8	7	11	181	23	1	1	0	3	9	4	14	2	41	6	13	24	15	11	20	14	3
ENST00000634676.1_1580_1620_+|genomic|ENST00000634676.1_1580_1620_+|peak_2139|ENST00000634676.1|1580|1620	77	122	26	46	16	36	36	30	175	179	151	287	3	90	37	109	123	131	193	305	29	30	36	37	20	35	10	12	32	36	116	219	104	107	212	165	117
ENST00000634710.2_80_120_+|genomic|ENST00000634710.2_80_120_+|peak_2140|ENST00000634710.2|80|120	0	14	1	1	0	0	52	44	0	1	1	2	2	3	0	1	1	0	0	0	0	1	1	0	0	54	0	0	5	57	0	1	1	0	0	1	2
ENST00000634803.1_980_1020_+|genomic|ENST00000634803.1_980_1020_+|peak_2141|ENST00000634803.1|980|1020	87	9	39	9	50	19	41	37	7	4	7	5	8	8	8	13	7	4	6	10	11	21	9	10	14	44	14	2	82	39	12	6	26	9	24	9	13
ENST00000634824.1_780_820_+|genomic|ENST00000634824.1_780_820_+|peak_2142|ENST00000634824.1|780|820	2	3	6	6	0	0	7	8	35	27	43	32	0	21	2	20	47	23	1	24	2	7	3	8	0	12	0	0	2	9	43	25	59	69	44	47	28
ENST00000634947.1_760_800_+|genomic|ENST00000634947.1_760_800_+|peak_2143|ENST00000634947.1|760|800	15	1	12	2	1	5	19	21	1	3	1	1	1	1	1	1	0	2	0	0	0	1	0	0	4	19	0	2	32	21	0	1	2	0	2	1	1
ENST00000634994.1_700_740_+|genomic|ENST00000634994.1_700_740_+|peak_2144|ENST00000634994.1|700|740	0	13	1	0	0	0	116	116	2	0	3	1	0	0	0	5	0	0	0	1	1	2	1	2	0	124	0	0	38	115	36	3	0	0	0	0	24
ENST00000635107.1_920_940_+|genomic|ENST00000635107.1_920_940_+|peak_2145|ENST00000635107.1|920|940	16	7	13	5	23	11	10	9	0	0	10	6	2	2	1	2	2	1	3	6	5	10	5	5	8	11	7	1	13	13	6	5	3	12	10	1	2
ENST00000635274.1_0_300_+|genomic|ENST00000635274.1_0_300_+|peak_2146|ENST00000635274.1|0|300	105	181	229	59	94	2820	172	193	191	62	85	98	284	63	57	372	144	115	119	28	92	180	197	165	235	177	124	96	162	186	43	72	81	111	185	63	84
ENST00000635449.1_9380_9420_+|genomic|ENST00000635449.1_9380_9420_+|peak_2147|ENST00000635449.1|9380|9420	25	4	14	0	0	1	32	30	0	1	1	0	0	4	0	2	1	0	4	0	12	0	7	0	0	30	0	0	55	31	0	3	1	11	0	0	0
ENST00000635661.1_880_920_+|genomic|ENST00000635661.1_880_920_+|peak_2148|ENST00000635661.1|880|920	16	17	3	7	8	3	2	5	34	19	30	61	1	43	5	12	10	7	9	27	6	4	8	5	2	3	3	2	3	3	28	19	44	17	60	36	21
ENST00000635780.1_360_400_+|genomic|ENST00000635780.1_360_400_+|peak_2149|ENST00000635780.1|360|400	71	16	36	13	18	9	34	30	21	12	37	16	2	9	2	3	4	11	8	17	17	28	20	6	2	37	2	7	46	39	15	9	13	35	21	9	16
ENST00000635780.1_2620_2660_+|genomic|ENST00000635780.1_2620_2660_+|peak_2150|ENST00000635780.1|2620|2660	84	15	4	2	10	6	11	11	31	9	16	36	1	17	3	9	6	9	28	16	7	7	5	5	3	14	15	1	28	13	7	13	10	7	26	15	3
ENST00000636028.1_1440_1460_+|genomic|ENST00000636028.1_1440_1460_+|peak_2151|ENST00000636028.1|1440|1460	19	4	9	1	2	2	8	8	9	16	15	18	1	4	2	18	16	24	17	19	2	4	1	2	0	12	1	0	8	10	28	26	26	32	23	32	21
ENST00000636096.2_400_440_+|genomic|ENST00000636096.2_400_440_+|peak_2152|ENST00000636096.2|400|440	67	31	6	7	6	2	9	6	48	65	59	79	1	74	25	42	44	47	133	94	2	4	18	5	6	6	4	3	24	14	51	59	82	27	125	56	58
ENST00000636175.1_1660_1680_+|genomic|ENST00000636175.1_1660_1680_+|peak_2153|ENST00000636175.1|1660|1680	5	2	10	7	10	3	15	16	8	4	12	4	3	6	1	4	1	8	1	12	5	6	2	1	10	13	2	3	5	11	6	6	6	2	20	8	4
ENST00000636536.1_80_120_+|genomic|ENST00000636536.1_80_120_+|peak_2154|ENST00000636536.1|80|120	11	15	5	12	1	9	12	9	27	32	23	59	3	20	3	11	15	25	29	55	7	5	9	7	7	11	2	1	9	8	11	24	13	19	28	21	18
ENST00000636775.1_1600_1620_+|genomic|ENST00000636775.1_1600_1620_+|peak_2155|ENST00000636775.1|1600|1620	13	10	6	8	0	0	9	8	6	10	9	12	0	3	3	16	3	10	14	10	15	4	10	10	1	12	0	0	10	10	12	11	13	16	21	6	16
ENST00000636854.1_1680_1720_+|genomic|ENST00000636854.1_1680_1720_+|peak_2156|ENST00000636854.1|1680|1720	20	3	25	2	1	0	12	9	1	1	0	3	0	0	0	0	1	0	0	1	2	0	1	0	2	13	0	1	21	12	2	0	3	0	0	0	1
ENST00000636980.1_3900_3940_+|genomic|ENST00000636980.1_3900_3940_+|peak_2157|ENST00000636980.1|3900|3940	23	6	37	4	14	4	20	20	4	7	7	8	2	2	4	6	4	9	5	13	8	12	7	5	6	27	8	3	37	24	10	9	11	10	15	6	9
ENST00000637179.1_1020_1060_+|genomic|ENST00000637179.1_1020_1060_+|peak_2158|ENST00000637179.1|1020|1060	26	14	36	6	0	1	39	46	25	19	43	33	1	31	7	17	15	29	7	47	8	18	13	10	0	47	0	4	11	37	43	18	80	39	67	33	36
ENST00000637179.1_1220_1260_+|genomic|ENST00000637179.1_1220_1260_+|peak_2159|ENST00000637179.1|1220|1260	32	19	25	1	0	0	18	27	44	40	49	36	3	46	6	19	24	20	7	31	14	10	7	11	0	22	0	0	21	19	28	28	81	57	94	32	33
ENST00000637205.1_100_140_+|genomic|ENST00000637205.1_100_140_+|peak_2160|ENST00000637205.1|100|140	20	44	57	29	0	0	67	53	178	86	199	137	0	161	30	69	7	91	14	146	16	42	17	47	1	73	0	0	30	52	126	116	262	256	188	167	85
ENST00000637218.1_1460_1500_+|genomic|ENST00000637218.1_1460_1500_+|peak_2161|ENST00000637218.1|1460|1500	58	10	27	6	1	3	13	15	19	11	22	19	0	18	2	17	11	19	3	42	22	8	5	11	1	12	0	0	15	18	11	13	20	21	35	22	15
ENST00000637240.1_40_80_+|genomic|ENST00000637240.1_40_80_+|peak_2162|ENST00000637240.1|40|80	0	6	0	2	0	0	89	93	5	2	0	3	0	0	3	6	0	0	0	0	0	0	0	0	0	97	0	0	18	96	15	3	0	2	0	0	14
ENST00000637583.1_20_60_+|genomic|ENST00000637583.1_20_60_+|peak_2163|ENST00000637583.1|20|60	50	84	7	25	4	22	20	18	109	84	95	194	7	56	12	60	54	61	93	114	20	32	23	22	26	14	11	7	16	17	54	85	109	74	143	75	66
ENST00000637634.1_0_40_+|genomic|ENST00000637634.1_0_40_+|peak_2164|ENST00000637634.1|0|40	0	2	2	0	0	0	59	62	3	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	61	0	0	83	57	4	1	1	1	0	0	13
ENST00000637901.1_600_620_+|genomic|ENST00000637901.1_600_620_+|peak_2165|ENST00000637901.1|600|620	20	15	6	4	3	10	4	3	34	35	38	70	2	19	5	27	17	18	19	34	4	7	3	15	16	5	5	4	4	2	13	24	24	18	40	23	17
ENST00000637928.1_280_320_+|genomic|ENST00000637928.1_280_320_+|peak_2166|ENST00000637928.1|280|320	22	15	25	9	1	2	10	10	18	11	24	11	0	7	14	45	38	59	42	65	7	7	10	9	2	14	1	2	11	15	13	88	24	47	29	23	14
ENST00000638026.1_680_720_+|genomic|ENST00000638026.1_680_720_+|peak_2167|ENST00000638026.1|680|720	0	0	3	7	0	0	20	20	2	1	1	0	0	0	0	18	0	0	0	0	0	1	0	0	1	18	0	0	0	35	5	1	2	0	2	0	3
ENST00000638356.1_280_360_+|genomic|ENST00000638356.1_280_360_+|peak_2168|ENST00000638356.1|280|360	453	50	79	46	10	15	81	80	56	50	74	73	6	56	23	129	51	60	86	87	34	35	30	27	15	86	8	12	259	78	67	78	95	61	122	67	67
ENST00000638417.1_1420_1460_+|genomic|ENST00000638417.1_1420_1460_+|peak_2169|ENST00000638417.1|1420|1460	33	10	32	14	0	1	27	15	10	12	14	8	0	6	15	14	17	18	6	21	8	4	6	9	1	24	1	0	8	21	18	20	25	31	20	15	26
ENST00000638516.1_2700_2740_+|genomic|ENST00000638516.1_2700_2740_+|peak_2170|ENST00000638516.1|2700|2740	34	8	12	5	3	8	11	11	16	2	17	20	0	19	3	11	2	5	8	17	1	4	3	3	8	10	5	5	50	8	10	11	15	14	17	15	6
ENST00000639260.1_500_520_+|genomic|ENST00000639260.1_500_520_+|peak_2171|ENST00000639260.1|500|520	0	3	0	0	0	0	21	23	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	24	0	0	57	20	2	1	0	1	0	0	1
ENST00000639358.1_240_280_+|genomic|ENST00000639358.1_240_280_+|peak_2172|ENST00000639358.1|240|280	6	11	1	36	0	0	47	45	3	0	2	0	1	1	3	166	1	0	0	1	0	2	0	0	0	46	0	0	13	80	26	2	0	1	0	0	14
ENST00000640049.1_1080_1120_+|genomic|ENST00000640049.1_1080_1120_+|peak_2173|ENST00000640049.1|1080|1120	14	4	23	4	3	21	20	17	11	3	27	14	7	15	1	9	8	7	1	37	4	12	11	8	20	20	7	9	8	20	7	23	8	21	32	10	14
ENST00000640049.1_1200_1240_+|genomic|ENST00000640049.1_1200_1240_+|peak_2174|ENST00000640049.1|1200|1240	1	41	12	7	1	19	6	3	40	60	21	61	3	20	1	30	25	40	0	62	10	11	16	9	17	7	1	5	0	9	29	38	25	27	31	45	17
ENST00000640049.1_1460_1500_+|genomic|ENST00000640049.1_1460_1500_+|peak_2175|ENST00000640049.1|1460|1500	33	3	25	8	2	15	52	49	16	6	2	7	5	18	6	9	10	2	3	7	9	4	2	6	9	53	3	2	42	58	5	0	11	10	19	7	9
ENST00000640283.1_560_580_+|genomic|ENST00000640283.1_560_580_+|peak_2176|ENST00000640283.1|560|580	27	19	10	2	0	0	6	7	51	40	58	88	1	72	14	45	36	26	23	40	7	7	10	5	2	8	1	1	7	6	37	52	76	21	84	56	27
ENST00000640357.1_3360_3380_+|genomic|ENST00000640357.1_3360_3380_+|peak_2177|ENST00000640357.1|3360|3380	2	8	13	9	0	1	12	7	36	28	42	24	0	15	16	24	23	36	0	53	6	13	9	8	0	11	0	1	0	11	41	44	41	62	69	40	47
ENST00000640486.1_120_160_+|genomic|ENST00000640486.1_120_160_+|peak_2178|ENST00000640486.1|120|160	0	0	0	3	0	0	78	70	2	1	1	0	0	0	1	0	1	0	0	0	2	1	0	0	0	81	0	0	15	87	4	0	0	0	1	0	5
ENST00000640504.1_560_600_+|genomic|ENST00000640504.1_560_600_+|peak_2179|ENST00000640504.1|560|600	36	5	10	10	1	7	20	18	5	10	2	7	1	13	0	3	5	4	4	15	2	3	1	1	1	15	1	1	35	18	5	7	5	3	17	5	6
ENST00000640557.1_720_760_+|genomic|ENST00000640557.1_720_760_+|peak_2180|ENST00000640557.1|720|760	4	7	3	4	2	2	2	4	33	25	12	36	2	24	7	12	13	15	10	36	1	2	4	2	1	5	1	1	0	3	25	23	26	8	38	18	12
ENST00000640686.1_1020_1055_+|genomic|ENST00000640686.1_1020_1055_+|peak_2181|ENST00000640686.1|1020|1055	10	4	17	1	2	2	13	15	1	0	0	2	6	0	0	4	22	0	2	0	1	2	2	1	1	19	2	2	29	16	2	1	0	0	2	0	0
ENST00000641138.1_540_580_+|genomic|ENST00000641138.1_540_580_+|peak_2182|ENST00000641138.1|540|580	0	8	5	2	0	2	4	6	26	13	26	25	0	3	0	11	16	24	0	21	2	3	1	8	5	3	0	1	0	3	8	7	13	11	14	10	11
